87	6	74	1	\N	\N	\N	\N	\N	0	4	2014-11-18 23:17:42	1	2014-11-18 11:12:45	1	e9ff8c2d-e2f4-4bd6-9db5-f91c3693b45a
88	6	19	\N	\N	\N	87	\N	\N	0	\N	\N	1	2014-11-18 11:12:45	1	f74deaa5-e093-4865-bff6-6f0ce2aa0b9c
93	6	17	\N	\N	\N	87	\N	\N	0	\N	\N	1	2014-11-18 11:12:45	1	d078ca04-c059-4831-8c77-d5249bf71b6d
94	6	18	\N	\N	\N	87	\N	\N	0	\N	\N	1	2014-11-18 11:12:45	1	48cb6742-d9af-4c8d-904d-025ccfc345c9
100	5	3	2	\N	\N	\N	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	8b5f3836-368a-4ce3-8e59-bed11e8844eb
101	5	19	\N	\N	\N	100	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	50a4526e-98c4-473d-a86b-2a79897aea19
102	5	83	1	\N	\N	\N	\N	\N	0	4	2014-11-19 14:29:57	1	2014-11-18 11:16:41	1	81eb7eb1-192c-4010-9a6e-2a89cc009515
103	5	73	\N	\N	\N	102	\N	\N	0	1	2014-11-18 15:11:56	1	2014-11-18 11:16:41	0.5	643bbce2-5ddb-402a-b5da-d14ceb00fcd8
104	5	8	\N	\N	\N	102	\N	\N	0	1	2014-11-18 15:12:03	1	2014-11-18 11:16:41	0.75	a2dd94c7-4d7b-4c06-9cfa-287d5d8b0df9
105	5	13	\N	\N	\N	102	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	77e00c36-620c-4c94-8807-afa433ea4d9b
108	5	9	\N	\N	\N	102	\N	\N	0	1	2014-11-18 15:12:05	1	2014-11-18 11:16:41	0.875	13000e5b-db27-4fed-a9ae-257f9ea6db1c
109	5	18	\N	\N	\N	100	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	5326ed92-e276-4020-91b7-3e3d0de64dcd
111	5	17	\N	\N	\N	100	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	564bd3b6-7c2b-4852-bb17-004c64745b57
112	5	6	\N	\N	\N	102	\N	\N	0	\N	\N	1	2014-11-18 11:16:41	1	e98507a9-55db-4245-9313-dffceb39efa4
