21	1019	1	\N
29	1202	3	\N
36	1197	4	\N
42	1222	10	\N
91	1195	7	\N
92	1157	1	\N
95	5839	2	\N
96	5839	3	\N
97	5839	4	\N
98	5839	1	\N
109	79	9	\N
110	79	6	\N
114	71	2	\N
114	1221	8	\N
119	79	3	\N
119	1201	1	\N
119	1221	1	\N
120	79	4	\N
126	78	2	\N
128	79	8	\N
131	78	1	\N
134	79	2	\N
135	79	1	\N
144	79	7	\N
161	1201	4	\N
204	1223	1	\N
207	77	3	\N
218	71	1	\N
219	77	5	\N
265	1195	1	\N
438	1159	6	\N
467	77	6	\N
487	77	2	\N
496	1195	3	\N
504	1239	16	\N
505	1239	19	\N
507	1203	16	\N
507	1207	10	\N
507	1223	13	\N
540	1239	1	\N
543	1239	18	\N
575	1239	20	\N
625	1085	9	\N
628	1085	4	\N
630	1085	14	\N
631	1085	7	\N
633	1085	3	\N
635	1085	6	\N
639	1239	11	\N
656	1158	1	\N
678	1019	8	\N
679	1019	6	\N
729	1019	5	\N
737	1195	4	\N
745	1159	1	\N
767	1159	3	\N
768	1159	4	\N
779	1195	5	\N
781	1197	1	\N
782	1197	3	\N
783	1197	5	\N
784	1195	6	\N
792	1085	10	\N
794	1085	5	\N
796	1085	2	\N
797	1085	13	\N
802	1085	11	\N
814	1085	1	\N
823	1203	20	\N
823	1207	14	\N
823	1223	18	\N
825	1220	2	\N
836	1221	2	\N
851	1019	4	\N
882	1203	18	\N
882	1207	12	\N
882	1223	15	\N
907	5279	0	\N
911	77	4	\N
916	1157	2	\N
916	1195	8	\N
937	79	5	\N
963	1195	2	\N
990	1207	15	\N
1015	1019	0	\N
1016	1019	7	\N
1017	1019	2	\N
1018	1019	3	\N
1049	1096	7	\N
1050	1096	3	\N
1051	1096	13	\N
1052	1096	11	\N
1090	1096	12	\N
1091	1096	10	\N
1092	1096	2	\N
1093	1096	1	\N
1094	1096	4	\N
1095	1096	5	\N
1097	1096	8	\N
1098	1096	9	\N
1099	1096	14	\N
1100	1096	6	\N
1108	1159	2	\N
1131	1159	5	\N
1132	5473	4	\N
1133	5473	3	\N
1134	5473	2	\N
1135	5473	1	\N
1210	1221	9	\N
1211	1221	10	\N
1212	1221	7	\N
1213	1221	6	\N
1214	1221	5	\N
1215	1222	7	\N
1216	1222	5	\N
1216	1223	11	\N
1217	1222	8	\N
1218	1222	11	\N
1219	1223	3	\N
1232	1239	6	\N
1233	1239	13	\N
1234	1239	3	\N
1235	1239	10	\N
1236	1239	8	\N
1237	1239	21	\N
1272	31	0	\N
5008	1201	2	\N
5009	1201	6	\N
5011	1201	5	\N
5012	1201	3	\N
5012	1205	3	\N
5012	1221	4	\N
5013	1202	5	\N
5014	1202	4	\N
5015	1202	12	\N
5016	1202	1	\N
5016	1223	2	\N
5017	1202	8	\N
5018	1202	2	\N
5018	1206	2	\N
5018	1222	1	\N
5020	1202	7	\N
5020	1221	3	\N
5021	1202	6	\N
5022	1202	11	\N
5022	1222	6	\N
5023	1202	15	\N
5024	1202	10	\N
5024	1222	4	\N
5025	1202	16	\N
5025	1223	14	\N
5026	1202	17	\N
5027	1202	13	\N
5027	1206	3	\N
5028	1202	9	\N
5029	1202	14	\N
5029	1222	9	\N
5030	1203	14	\N
5030	1206	4	\N
5032	1203	4	\N
5032	1223	5	\N
5033	1203	5	\N
5033	1207	2	\N
5033	1223	6	\N
5034	1203	6	\N
5034	1207	3	\N
5034	1223	7	\N
5035	1203	7	\N
5035	1207	4	\N
5035	1223	8	\N
5037	1203	3	\N
5038	1203	8	\N
5038	1223	9	\N
5040	1203	10	\N
5041	1203	9	\N
5041	1207	6	\N
5042	1203	17	\N
5042	1207	11	\N
5043	1203	12	\N
5043	1207	8	\N
5043	1223	10	\N
5044	1203	11	\N
5046	1203	19	\N
5046	1207	13	\N
5046	1223	16	\N
5048	1203	15	\N
5050	1222	2	\N
5085	1114	8	\N
5086	1114	2	\N
5087	1114	6	\N
5088	1114	9	\N
5089	1114	10	\N
5090	1114	4	\N
5092	1114	1	\N
5104	1239	5	\N
5107	1239	15	\N
5119	1239	14	\N
5120	1239	12	\N
5132	1239	7	\N
5134	1239	4	\N
5136	77	1	\N
5139	1239	2	\N
5141	1239	9	\N
5242	1114	7	\N
5261	1197	2	\N
5283	1114	5	\N
5314	1114	3	\N
5327	1204	1	\N
5327	1220	1	\N
5328	1204	2	\N
5328	1220	3	\N
5329	1205	1	\N
5330	1205	2	\N
5332	1205	4	\N
5333	1223	12	\N
5334	1206	1	\N
5337	1206	7	\N
5338	1206	5	\N
5339	1206	6	\N
5340	1203	2	\N
5340	1207	1	\N
5340	1222	3	\N
5344	1207	7	\N
5345	1203	1	\N
5345	1207	0	\N
5345	1223	4	\N
5350	1207	5	\N
5354	1203	13	\N
5354	1207	9	\N
5355	1223	17	\N
5424	1085	8	\N
5811	1085	12	\N
5864	1197	6	\N
5973	1239	17	\N
